res,imf,time,sol_frac,liq_frac,hydrous_frac,primitive_frac,n2co2_frac,cocl_frac,h2o_frac,perco_frac,melt1_frac,melt2_frac,Tmax,Tmean,m_plts_tot
resI,powerlaw,0.186791,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,150.0,150.0,0.001122
resI,powerlaw,0.191164,1.0,0.0,0.02104,0.97896,1.0,1.0,1.0,0.0,0.0,0.0,153.922404,153.685291,0.005209
resI,powerlaw,0.19564,1.0,0.0,0.037677,0.962323,1.0,1.0,1.0,0.0,0.0,0.0,159.315839,158.63999,0.012469
resI,powerlaw,0.20022,1.0,0.0,0.03331,0.96669,1.0,1.0,1.0,0.0,0.0,0.0,164.86336,163.635529,0.023051
resI,powerlaw,0.204908,1.0,0.0,0.020726,0.979274,1.0,1.0,1.0,0.0,0.0,0.0,170.383359,169.176124,0.03706
resI,powerlaw,0.209705,1.0,0.0,0.014069,0.985931,1.0,1.0,1.0,0.0,0.0,0.0,176.235994,174.845788,0.054645
resI,powerlaw,0.214614,1.0,0.0,0.010127,0.989873,1.0,1.0,1.0,0.0,0.0,0.0,182.349676,180.675746,0.07592
resI,powerlaw,0.219639,1.0,0.0,0.00762,0.99238,1.0,1.0,1.0,0.0,0.0,0.0,188.773319,186.735738,0.100739
resI,powerlaw,0.224781,1.0,0.0,0.007735,0.992265,1.0,1.0,1.0,0.0,0.0,0.0,195.42696,192.95111,0.129228
resI,powerlaw,0.230043,1.0,0.0,0.02211,0.97789,1.0,1.0,1.0,0.0,0.0,0.0,202.275484,199.314689,0.161528
resI,powerlaw,0.235429,1.0,0.0,0.098297,0.901703,1.0,1.0,1.0,0.0,0.0,0.0,209.249752,205.752255,0.197911
resI,powerlaw,0.24094,1.0,0.0,0.181885,0.818115,1.0,1.0,1.0,0.0,0.0,0.0,216.547861,212.466688,0.237853
resI,powerlaw,0.246581,1.0,0.0,0.255037,0.744963,1.0,1.0,1.0,0.0,0.0,0.0,223.957046,219.246803,0.282053
resI,powerlaw,0.252354,1.0,0.0,0.314731,0.685269,1.0,1.0,1.0,0.0,0.0,0.0,231.771029,226.373399,0.329485
resI,powerlaw,0.258262,1.0,0.0,0.366706,0.633294,1.0,1.0,1.0,0.0,0.0,0.0,239.75883,233.624685,0.380867
resI,powerlaw,0.264308,1.0,0.0,0.402186,0.597814,1.0,1.0,1.0,0.0,0.0,0.0,247.991976,241.067235,0.435883
resI,powerlaw,0.270496,1.0,0.0,0.421085,0.578915,1.0,1.0,1.0,0.0,0.0,0.0,256.481498,248.705997,0.494408
resI,powerlaw,0.276829,1.0,0.0,0.43652,0.56348,1.0,1.0,1.0,0.0,0.0,0.0,265.174818,256.500219,0.556558
resI,powerlaw,0.28331,1.0,0.0,0.424682,0.575318,1.0,1.0,1.0,0.0,0.0,0.0,274.362707,264.688557,0.620767
resI,powerlaw,0.289942,1.0,0.0,0.417181,0.582819,1.0,1.0,1.0,0.0,0.0,0.0,283.6697,272.938458,0.688238
resI,powerlaw,0.29673,1.0,0.0,0.389307,0.610693,1.0,1.0,1.0,0.0,0.0,0.0,293.662738,281.769362,0.755623
resI,powerlaw,0.303677,1.0,0.0,0.358749,0.641251,1.0,1.0,1.0,0.0,0.0,0.0,303.446247,290.760222,0.825917
resI,powerlaw,0.310787,1.0,0.0,0.331478,0.668522,1.0,1.0,1.0,0.0,0.0,0.0,314.166346,300.942265,0.89526
resI,powerlaw,0.318063,1.0,0.0,0.308146,0.691854,1.0,1.0,1.0,0.0,0.0,0.0,325.544439,311.495198,0.963864
resI,powerlaw,0.32551,1.0,0.0,0.289402,0.710598,1.0,1.0,1.0,0.0,0.0,0.0,338.108827,323.055783,1.027568
resI,powerlaw,0.333131,1.0,0.0,0.322256,0.677744,1.0,1.0,1.0,0.0,0.0,0.0,351.526396,335.268292,1.089457
resI,powerlaw,0.340929,1.0,0.0,0.580564,0.419436,1.0,1.0,1.0,0.0,0.0,0.0,366.925739,349.247275,1.142478
resI,powerlaw,0.348911,1.0,0.0,0.69099,0.30901,0.999985,1.0,1.0,0.0,0.0,0.0,383.69553,364.458845,1.189394
resI,powerlaw,0.357077,1.0,0.0,0.75371,0.24629,0.999869,1.0,1.0,0.0,0.0,0.0,404.758683,383.545037,1.215677
resI,powerlaw,0.36544,1.0,0.0,0.796933,0.203067,0.999648,1.0,1.0,0.0,0.0,0.0,430.219896,406.540318,1.222764
resI,powerlaw,0.373992,1.0,0.0,0.825041,0.174959,0.999511,1.0,1.0,0.0,0.0,0.0,457.691283,431.279535,1.222764
resI,powerlaw,0.382751,1.0,0.0,0.830202,0.16979,0.999441,1.0,0.999992,7e-06,0.0,0.0,485.315303,456.113607,1.222764
resI,powerlaw,0.391709,1.0,0.0,0.831224,0.168719,0.999436,1.0,0.999942,5.4e-05,0.0,0.0,513.320546,481.205161,1.222764
resI,powerlaw,0.40088,1.0,0.0,0.832081,0.167792,0.999431,1.0,0.999873,7.3e-05,0.0,0.0,541.729569,506.592002,1.222764
resI,powerlaw,0.410266,1.0,0.0,0.832371,0.167315,0.999428,1.0,0.999686,0.000104,0.0,0.0,570.283093,532.214848,1.222764
resI,powerlaw,0.41987,1.0,0.0,0.833442,0.166116,0.999425,1.0,0.999559,0.000158,0.0,0.0,599.029886,557.951047,1.222764
resI,powerlaw,0.4297,1.0,0.0,0.843896,0.155584,0.999424,1.0,0.999479,0.000325,0.0,0.0,627.96331,583.741813,1.222764
resI,powerlaw,0.439761,1.0,0.0,0.886117,0.113329,0.999421,1.0,0.999446,0.000509,0.0,0.0,657.223534,609.764035,1.222764
resI,powerlaw,0.450056,1.0,0.0,0.923145,0.076298,0.999294,1.0,0.999442,0.000542,5.5e-05,0.0,686.651899,635.893351,1.222764
resI,powerlaw,0.460593,0.999996,4e-06,0.926004,0.073435,0.998342,1.0,0.999439,0.000548,9.3e-05,0.0,716.241028,662.144026,1.222764
resI,powerlaw,0.471376,0.999943,5.7e-05,0.92672,0.072715,0.984193,1.0,0.999435,0.000556,0.000162,0.0,746.167519,688.591458,1.222764
resI,powerlaw,0.48241,0.999801,0.000199,0.927329,0.072104,0.919183,1.0,0.999433,0.000559,0.000271,0.0,776.058431,714.932076,1.222764
resI,powerlaw,0.493704,0.999623,0.000377,0.927741,0.07169,0.831339,1.0,0.999431,0.000562,0.000415,0.0,806.205317,741.547985,1.222764
resI,powerlaw,0.505263,0.999471,0.000529,0.927981,0.071372,0.801746,0.999927,0.999353,0.000566,0.000529,0.0,836.580015,768.290076,1.222764
resI,powerlaw,0.517093,0.999463,0.000537,0.926096,0.071051,0.787812,0.999809,0.997148,0.000567,0.000538,0.0,867.104917,795.112966,1.222764
resI,powerlaw,0.529197,0.999454,0.000546,0.915412,0.070784,0.7828,0.999542,0.986196,0.000569,0.000546,0.0,897.964879,822.122204,1.222764
resI,powerlaw,0.541587,0.999449,0.000551,0.879475,0.070534,0.780935,0.999469,0.950009,0.001196,0.000551,0.0,929.016294,849.287925,1.222764
resI,powerlaw,0.554266,0.999447,0.000553,0.793038,0.07028,0.779791,0.999464,0.863318,0.013597,0.000553,0.0,960.141639,876.493778,1.222764
resI,powerlaw,0.567242,0.999444,0.000556,0.731433,0.070088,0.778602,0.999457,0.801522,0.067461,0.000556,0.0,991.510436,903.821625,1.222764
resI,powerlaw,0.580523,0.999442,0.000558,0.718828,0.069905,0.77768,0.999452,0.788733,0.163463,0.000558,0.0,1023.075455,931.22571,1.222764
resI,powerlaw,0.594114,0.99944,0.00056,0.716076,0.069705,0.773184,0.99945,0.785782,0.198196,0.00056,0.0,1054.568953,958.643939,1.222764
